datetime,co,no,no2,nox,o3,pm10,pm25,prs,rainf,rh,so2,sr,tout,wdr,wsr
2020-04-20 01:00:00,0.61,0.7116345045319399,13.444175553776681,15.487069337776283,48.0,14.0,14.426523158278656,707.9,0.0,33.0,4.235864410338806,0.167,27.0,123.0,4.4
2020-04-22 10:00:00,1.31,1.6,11.786441943590908,14.694577913785906,22.0,58.0,28.24070142954315,706.9,0.0,69.0,3.6,0.166,27.0,63.0,3.8
2020-04-24 01:00:00,0.87,0.9002527354828587,4.4,6.2,54.0,22.0,16.0,708.1,0.0,31.0,2.6,0.171,26.0,137.0,5.0
2020-04-24 15:00:00,0.94,2.0,6.1,8.0,96.0,55.0,15.0,706.8,0.0,9.0,3.0,0.185,36.0,84.0,7.5
2020-04-24 21:00:00,0.95,1.6,8.1,9.8,54.0,26.0,15.0,706.7,0.0,15.0,2.4,0.183,33.0,93.0,5.6
2020-04-25 17:00:00,1.21,2.0,4.1,6.0,52.0,66.0,43.0,710.1,0.0,47.0,4.722189659122797,0.176,29.0,92.0,15.1
2020-04-26 02:00:00,1.09,0.5342625637978813,1.9,3.6,38.0,20.0,19.0,713.9,0.0,80.0,2.3,0.167,22.0,84.0,9.9
2020-04-29 01:00:00,0.99,1.5,5.9,7.5,53.0,37.0,7.0,709.5,0.0,36.0,2.5,0.173,26.0,149.0,4.8
2020-04-29 10:00:00,1.34,7.2,19.6,26.8,57.0,45.0,13.0,709.7,0.0,26.0,3.6,0.199,31.0,47.0,3.2
2020-05-01 02:00:00,1.04,1.5,10.1,11.7,37.0,25.0,9.0,712.2,0.0,52.0,2.8,0.173,21.0,334.0,5.6
2020-05-01 16:00:00,1.17,1.8,3.7,5.6,73.0,32.0,17.0,710.0,0.0,30.0,2.7,0.18,33.0,117.0,9.1
2020-05-02 22:00:00,1.13,1.5,2.6,4.2,39.0,31.0,10.0,711.0,0.0,56.0,2.5,0.173,28.0,82.0,9.8
2020-05-03 01:00:00,1.12,1.5,3.8,5.4,33.0,25.0,10.0,711.4,0.0,73.0,3.6,0.169,23.0,53.0,8.0
2020-05-03 02:00:00,1.11,1.5,4.5,6.1,30.0,22.0,10.0,711.1,0.0,77.0,3.7,0.169,23.0,34.0,5.7
2020-05-03 20:00:00,1.09,1.5,3.6,5.1,39.0,22.0,14.0,708.6,0.0,33.0,3.2139855558694066,0.177,31.0,141.0,8.4
2020-05-05 00:00:00,1.25,0.25838252118064986,2.6,4.0,35.0,45.0,29.0,708.4,0.0,62.0,3.7,0.171,27.0,58.0,8.4
2020-05-07 19:00:00,1.18,1.6,2.5,4.2,56.0,13.0,11.0,709.2,0.0,37.0,2.9,0.175,30.0,149.0,14.9
2020-05-08 19:00:00,1.28,1.8,7.4,9.2,58.0,9.0,8.0,711.2,0.0,66.0,2.5,0.17,21.0,249.0,5.5
2020-05-08 21:00:00,1.43,1.6,13.1,14.7,34.0,18.0,12.0,712.5,0.0,67.0,3.0,0.177,22.0,119.0,3.9
2020-05-08 23:00:00,1.49,0.969438516962974,13.7,15.3,25.0,23.0,14.0,713.8,0.0,68.0,2.9,0.179,22.0,266.0,2.5
2020-05-10 20:00:00,1.27,1.5,3.1,4.7,48.0,20.0,11.0,713.5,0.0,64.0,2.6,0.169,23.0,145.0,7.9
